	target	guide	responder	donor	condition	n
PAK2|ALL|KO|D1|Rest	PAK2	ALL	KO	D1	Rest	111
PAK2|ALL|KO|D1|Stim48hr	PAK2	ALL	KO	D1	Stim48hr	135
PAK2|ALL|KO|D1|Stim8hr	PAK2	ALL	KO	D1	Stim8hr	98
PAK2|ALL|KO|D2|Rest	PAK2	ALL	KO	D2	Rest	135
PAK2|ALL|KO|D2|Stim8hr	PAK2	ALL	KO	D2	Stim8hr	147
PAK2|ALL|KO|D3|Rest	PAK2	ALL	KO	D3	Rest	59
PAK2|ALL|KO|D3|Stim48hr	PAK2	ALL	KO	D3	Stim48hr	66
PAK2|ALL|KO|D3|Stim8hr	PAK2	ALL	KO	D3	Stim8hr	51
PAK2|ALL|KO|D4|Rest	PAK2	ALL	KO	D4	Rest	86
PAK2|ALL|KO|D4|Stim48hr	PAK2	ALL	KO	D4	Stim48hr	148
PAK2|ALL|KO|D4|Stim8hr	PAK2	ALL	KO	D4	Stim8hr	85
PAK2|ALL|NP|D1|Rest	PAK2	ALL	NP	D1	Rest	32
PAK2|ALL|NP|D1|Stim48hr	PAK2	ALL	NP	D1	Stim48hr	31
PAK2|ALL|NP|D1|Stim8hr	PAK2	ALL	NP	D1	Stim8hr	26
PAK2|ALL|NP|D2|Rest	PAK2	ALL	NP	D2	Rest	67
PAK2|ALL|NP|D2|Stim8hr	PAK2	ALL	NP	D2	Stim8hr	27
PAK2|ALL|NP|D3|Rest	PAK2	ALL	NP	D3	Rest	31
PAK2|ALL|NP|D4|Rest	PAK2	ALL	NP	D4	Rest	46
PAK2|ALL|NP|D4|Stim48hr	PAK2	ALL	NP	D4	Stim48hr	35
PAK2|PAK2-1|KO|D1|Rest	PAK2	PAK2-1	KO	D1	Rest	35
PAK2|PAK2-1|KO|D1|Stim48hr	PAK2	PAK2-1	KO	D1	Stim48hr	57
PAK2|PAK2-1|KO|D1|Stim8hr	PAK2	PAK2-1	KO	D1	Stim8hr	39
PAK2|PAK2-1|KO|D4|Rest	PAK2	PAK2-1	KO	D4	Rest	60
PAK2|PAK2-1|KO|D4|Stim48hr	PAK2	PAK2-1	KO	D4	Stim48hr	76
PAK2|PAK2-1|KO|D4|Stim8hr	PAK2	PAK2-1	KO	D4	Stim8hr	60
PAK2|PAK2-2|KO|D1|Rest	PAK2	PAK2-2	KO	D1	Rest	76
PAK2|PAK2-2|KO|D1|Stim48hr	PAK2	PAK2-2	KO	D1	Stim48hr	78
PAK2|PAK2-2|KO|D1|Stim8hr	PAK2	PAK2-2	KO	D1	Stim8hr	59
PAK2|PAK2-2|KO|D2|Rest	PAK2	PAK2-2	KO	D2	Rest	133
PAK2|PAK2-2|KO|D2|Stim8hr	PAK2	PAK2-2	KO	D2	Stim8hr	142
