metric	value
external_reversal_RICTOR	0.164921
external_reversal_PAK2	0.00148
external_reversal_RIPK1	-0.006803
internal_reference	0.161
lodo_RICTOR_drop_JIA_patient_1	0.169618
lodo_RICTOR_drop_JIA_patient_2	0.176937
lodo_RICTOR_drop_JIA_patient_4	0.164542
lodo_RICTOR_drop_JIA_patient_5	0.156035
lodo_RICTOR_drop_JIA_patient_6	0.146512
lodo_RICTOR_drop_JIA_patient_7	0.164561
bootstrap_RICTOR_median	0.15952
bootstrap_RICTOR_ci_low	0.112759
bootstrap_RICTOR_ci_high	0.191446
bootstrap_RICTOR_frac_positive	1.0
