perturbation_id	gene_symbol	reversal_score	combined_score	global_rank	global_percentile	effect_magnitude	breadth	donor_sign_consistency	guide_concordance	on_target_knockdown	broad_effect_flag	essentiality_flag	safety_flag	modality_flag	screen_level_status	evidence_depth	deep_validation_status	primary_rejection_or_nonadvance_reason	final_evidence_class	source_artifact
ENSG00000087460	GNAS	0.157182	3.0783	1	100.0	834	137.0	0.9967	0.9776	0.0	False		foxp3_collapse	not_queried(locally_vetoed)	CONVERGENT_FDR<0.10	SHORTLIST_VETTED	NOT_EVALUATED	foxp3_deep_collapse	SAFETY_CONSTRAINED	rescue_screen/reversal_screen_full+REJECTION_LEDGER
ENSG00000168488	ATXN2L	0.1225	2.7628	2	99.89	683	17.0	0.9965	0.9847	-17.4329	False		foxp3_collapse	not_queried(locally_vetoed)	CONVERGENT_FDR<0.10	SHORTLIST_VETTED	NOT_EVALUATED	foxp3_deep_collapse	SAFETY_CONSTRAINED	rescue_screen/reversal_screen_full+REJECTION_LEDGER
ENSG00000168769	TET2	0.125947	2.6967	3	99.78	425	43.3333	1.0	1.0	-16.3886	False		foxp3_collapse	not_queried(locally_vetoed)	CONVERGENT_FDR<0.10	SHORTLIST_VETTED	NOT_EVALUATED	tumour_suppressor	SAFETY_CONSTRAINED	rescue_screen/reversal_screen_full+REJECTION_LEDGER
ENSG00000136940	PDCL	0.121052	2.6576	4	99.68	956	358.3333	0.9928	0.975	-14.7909	True		foxp3_collapse	not_queried(locally_vetoed)	CONVERGENT_FDR<0.10	SHORTLIST_VETTED	NOT_EVALUATED	apoptosis_induction	SAFETY_CONSTRAINED	rescue_screen/reversal_screen_full+REJECTION_LEDGER
ENSG00000138081	FBXO11	0.128414	2.6233	5	99.57	463	33.3333	0.9907	0.9872	-14.0745	False	False	foxp3_collapse	NO_CREDIBLE_MODALITY	CONVERGENT_FDR<0.10	SHORTLIST_VETTED	NOT_EVALUATED	LoF_intolerant_safety_caution;many_cancer_assoc(caution);no_credible_modality	EXPLORATORY_SINGLE_STATE_HIT	rescue_screen/reversal_screen_full+REJECTION_LEDGER
ENSG00000077147	TM9SF3	0.124212	2.5864	6	99.46	578	14.0	1.0	1.0	-20.7275	False		treg_program_down_shared_with_activation	not_queried(locally_vetoed)	CONVERGENT_FDR<0.10	SHORTLIST_VETTED	NOT_EVALUATED	fails donor-consistent-subvector or leading-edge jackknife	EXPLORATORY_SINGLE_STATE_HIT	rescue_screen/reversal_screen_full+REJECTION_LEDGER
ENSG00000168610	STAT3	0.114889	2.4968	7	99.35	1056	378.6667	0.994	0.9854	-14.1843	True			not_queried(locally_vetoed)	CONVERGENT_FDR<0.10	SHORTLIST_VETTED	NOT_EVALUATED	pan_essential_or_broad_machinery;severe_immunodeficiency	SAFETY_CONSTRAINED	rescue_screen/reversal_screen_full+REJECTION_LEDGER
ENSG00000173451	THAP2	0.113901	2.4763	8	99.24	507	3.6667	0.9924	0.9933	-5.9035	False	False		NO_CREDIBLE_MODALITY	CONVERGENT_FDR<0.10	SHORTLIST_VETTED	NOT_EVALUATED	many_cancer_assoc(caution);no_immune_evidence;no_credible_modality	EXPLORATORY_SINGLE_STATE_HIT	rescue_screen/reversal_screen_full+REJECTION_LEDGER
ENSG00000099956	SMARCB1	0.105529	2.4225	9	99.13	1016	534.0	0.9829	0.8888	-9.7671	True		foxp3_collapse	not_queried(locally_vetoed)	CONVERGENT_FDR<0.10	SHORTLIST_VETTED	NOT_EVALUATED	foxp3_deep_collapse;pan_essential_or_broad_machinery;tumour_suppressor	SAFETY_CONSTRAINED	rescue_screen/reversal_screen_full+REJECTION_LEDGER
ENSG00000100425	BRD1	0.118008	2.4176	10	99.03	770	57.0	0.9996	0.9953	-10.8096	False	False	treg_program_down_shared_with_activation	TRACTABLE_EXPLORATORY	CONVERGENT_FDR<0.10	SHORTLIST_VETTED	NOT_EVALUATED	LoF_intolerant_safety_caution	NONSPECIFIC_BROAD_REVERSER	rescue_screen/reversal_screen_full+REJECTION_LEDGER
