symbol	arm	disease_logfc	kd_lfc
CCL4	disease_up	3.0831431487612915	-2.1062842712181173
CXCR6	disease_up	3.3599883419622656	-1.501267793743719
ITGA1	disease_up	1.6037190166805224	-1.351922100289751
RGS1	disease_up	2.719301730779	-1.3277089636258588
CCR2	disease_up	1.7069936981933376	-1.3234738220630609
XCL2	disease_up	1.2729176667430264	-1.287702943280857
IFNG	disease_up	2.687682556623638	-1.274863012772253
CCR5	disease_up	2.102326170223511	-0.9955026500768837
ABTB2	disease_up	1.286825543544165	-0.9644971145206116
IL18RAP	disease_up	1.9900251732176808	-0.930643499648904
GNLY	disease_up	2.025866270946755	-0.9092336787996512
GZMA	disease_up	1.5176978438683768	-0.8728805161910022
PDE7B	disease_up	1.4760593716905306	-0.828419804847468
ZEB2	disease_up	1.6917741866657847	-0.8039527248736351
JAZF1	disease_up	1.2974668068806463	-0.799345121111834
PPARG	disease_up	1.468999445063765	-0.7841306850826149
FAM43A	disease_up	1.7770681060665396	-0.7634927288493952
ATP8B4	disease_up	1.3354003120911635	-0.7240185241144957
ANXA1	disease_up	1.3615405189951018	-0.7164648850823978
XCL1	disease_up	2.835675511620716	-0.6916362470536902
CCL5	disease_up	1.985264691408705	-0.6541750588851403
DHRS3	disease_up	1.4431597325072172	-0.6406401079138199
PHLDA1	disease_up	3.366738709702752	-0.591387632804131
PDE4A	disease_up	1.7162479885027155	-0.5712379581936085
PHLDA2	disease_up	2.573439011538519	-0.5369115624692836
PDCD1	disease_up	2.431990559600668	-0.5366539513487164
CAMK2N1	disease_up	1.3683670220568949	-0.5362834394056527
GZMB	disease_up	3.116745462177726	-0.5340824028303544
IER5L	disease_up	2.3425748258883163	-0.5283078903020048
ARHGAP31	disease_up	1.2412187289863756	-0.5258085559542068
GADD45G	disease_up	1.5870922217715984	-0.5224210885689557
LMNA	disease_up	3.5587931915595106	-0.5199618766230384
TNFRSF12A	disease_up	1.4246836631489397	-0.4978527217295642
SNTA1	disease_up	1.5953041854647945	-0.4653334463326725
TSPAN2	disease_up	1.810509104554912	-0.4585250573155223
ITGA2	disease_up	1.285715165682696	-0.4421311749187801
GNG4	disease_up	1.739773244018687	-0.4406073365222624
AHI1	disease_up	1.306465962686404	-0.4372582261210693
RGS16	disease_up	2.5633196035563754	-0.4363675187902127
CREM	disease_up	2.1310565371592	-0.4191302783508155
CRIM1	disease_up	1.30808365752757	-0.4143221082311688
TUBB2A	disease_up	1.8729732454427133	-0.4082118330229635
SAMSN1	disease_up	1.4527289670081005	-0.4017607471181333
LAT2	disease_up	1.6130033476298928	-0.3992603896584881
RFX2	disease_up	2.714810598593276	-0.3949677663821229
CRIP1	disease_up	1.2442616449317354	-0.3624427693461197
SDC4	disease_up	2.7415190385018087	-0.3601983035247653
TNFRSF18	disease_up	1.7420035734105002	-0.3544707001276797
FBLN7	disease_up	1.4773338933282936	-0.3517935612044607
ATP1B1	disease_up	1.867584798130368	-0.350024154387323
KBTBD8	disease_up	1.3208476003421608	-0.3456146700987232
QPCT	disease_up	1.9194076080237856	-0.343748620791601
BIRC3	disease_up	1.4037915064857285	-0.3380378428463321
ADGRG1	disease_up	1.333889874066894	-0.3360812970733876
P2RY14	disease_up	1.454504523396886	-0.3329336659312846
EGR3	disease_up	1.4521858939075205	-0.3326062010382944
PDGFA	disease_up	1.3957241685207586	-0.3293850998799367
RGS2	disease_up	1.9984443406817456	-0.3254496431030902
GEM	disease_up	1.9460802619361808	-0.324386953051987
METRNL	disease_up	2.823407974649472	-0.3239629474042323
BHLHE40	disease_up	1.5170016996541016	-0.3233228753663227
TBX21	disease_up	1.9379275359698307	-0.3141315318349633
EGR2	disease_up	1.448871960006226	-0.3130722494873519
GNA15	disease_up	1.692186312250065	-0.3099607805855335
CXCR3	disease_up	2.025445469088769	-0.3074492619231361
SH2D2A	disease_up	1.31618215160309	-0.2838102178437798
MYADM	disease_up	1.840420539590168	-0.2765342232659683
CD83	disease_up	1.6834375951437095	-0.2739064423258456
DUSP4	disease_up	2.9329958389261748	-0.2660095672671344
IFI27	disease_up	1.99461758378477	-0.26299601056702
SEMA4A	disease_up	2.8440237779203463	-0.2627603433279191
DUSP6	disease_up	1.548395774766486	-0.2603073634674778
SPAG1	disease_up	1.2781066861843733	-0.2592421588103079
RGCC	disease_up	1.89811938238591	-0.2539362925053151
CLIC5	disease_up	1.3524710723367024	-0.2507542485085459
TNFSF9	disease_up	1.8027077974247947	-0.2495310028416256
F2R	disease_up	2.5631324155014346	-0.2460893836525233
RBPJ	disease_up	1.764685905341996	-0.2299971959131553
AREG	disease_up	1.6974335870791988	-0.2285990759929506
