track	reversal	range_low	range_high	source_artifact
primary raw-count vector	0.1606			primary_comparison.tsv:RICTOR:primary_reversal
adjusted-vector sensitivity	0.147			covariate-adjusted disease-vector sensitivity — server-scale (make full / Level 3) run; same-cohort narrative anchor, not recomputed at Level 1; see docs/REPRODUCIBILITY_LEVELS.md
RICTOR guide 1	0.141			primary_comparison.tsv:RICTOR:guide_1_reversal
RICTOR guide 2	0.1781			primary_comparison.tsv:RICTOR:guide_2_reversal
disease-donor LODO (11)	0.159128	0.153809	0.167058	rictor_lodo.tsv:11_folds(mean;min;max)
responder-only mean	0.054			responder-only strata mean — server-scale (make full / Level 3) run; same-cohort narrative anchor, not recomputed at Level 1; see docs/REPRODUCIBILITY_LEVELS.md
condition: Rest	0.1532			primary_comparison.tsv:RICTOR:condition_rest
condition: Stim8hr	0.0916			primary_comparison.tsv:RICTOR:condition_stim8
condition: Stim48hr	0.0422			primary_comparison.tsv:RICTOR:condition_stim48
confound-removed (cc+act+broad)	0.096701			confound_decomposition.tsv:cellcycle+activation+broaddown
matched-null substrate	0.1314			primary_comparison.tsv:RICTOR:matched_substrate_reversal
